Region,År,datakalla,Variabel,Värde
Halmstad,2000,historisk,Inrikes inflyttade,3517
Halmstad,2000,historisk,Inrikes utflyttade,3118
Halmstad,2001,historisk,Inrikes flyttnetto,460
Halmstad,2001,historisk,Inrikes inflyttade,3573
Halmstad,2001,historisk,Inrikes utflyttade,3113
Halmstad,2002,historisk,Inrikes flyttnetto,677
Halmstad,2002,historisk,Inrikes inflyttade,3560
Halmstad,2002,historisk,Inrikes utflyttade,2883
Halmstad,2003,historisk,Inrikes flyttnetto,444
Halmstad,2003,historisk,Inrikes inflyttade,3532
Halmstad,2003,historisk,Inrikes utflyttade,3088
Halmstad,2004,historisk,Inrikes flyttnetto,216
Halmstad,2004,historisk,Inrikes inflyttade,3426
Halmstad,2004,historisk,Inrikes utflyttade,3210
Halmstad,2005,historisk,Inrikes flyttnetto,83
Halmstad,2005,historisk,Inrikes inflyttade,3501
Halmstad,2005,historisk,Inrikes utflyttade,3418
Halmstad,2006,historisk,Inrikes flyttnetto,236
Halmstad,2006,historisk,Inrikes inflyttade,3600
Halmstad,2006,historisk,Inrikes utflyttade,3364
Halmstad,2007,historisk,Inrikes flyttnetto,211
Halmstad,2007,historisk,Inrikes inflyttade,3494
Halmstad,2007,historisk,Inrikes utflyttade,3283
Halmstad,2008,historisk,Inrikes flyttnetto,100
Halmstad,2008,historisk,Inrikes inflyttade,3425
Halmstad,2008,historisk,Inrikes utflyttade,3325
Halmstad,2009,historisk,Inrikes flyttnetto,206
Halmstad,2009,historisk,Inrikes inflyttade,3455
Halmstad,2009,historisk,Inrikes utflyttade,3249
Halmstad,2010,historisk,Inrikes flyttnetto,185
Halmstad,2010,historisk,Inrikes inflyttade,3421
Halmstad,2010,historisk,Inrikes utflyttade,3236
Halmstad,2011,historisk,Inrikes flyttnetto,162
Halmstad,2011,historisk,Inrikes inflyttade,3539
Halmstad,2011,historisk,Inrikes utflyttade,3377
Halmstad,2012,historisk,Inrikes flyttnetto,465
Halmstad,2012,historisk,Inrikes inflyttade,3779
Halmstad,2012,historisk,Inrikes utflyttade,3314
Halmstad,2013,historisk,Inrikes flyttnetto,305
Halmstad,2013,historisk,Inrikes inflyttade,3796
Halmstad,2013,historisk,Inrikes utflyttade,3491
Halmstad,2014,historisk,Inrikes flyttnetto,280
Halmstad,2014,historisk,Inrikes inflyttade,3949
Halmstad,2014,historisk,Inrikes utflyttade,3669
Halmstad,2015,historisk,Inrikes flyttnetto,268
Halmstad,2015,historisk,Inrikes inflyttade,4010
Halmstad,2015,historisk,Inrikes utflyttade,3742
Halmstad,2016,historisk,Inrikes flyttnetto,147
Halmstad,2016,historisk,Inrikes inflyttade,4050
Halmstad,2016,historisk,Inrikes utflyttade,3903
Halmstad,2017,historisk,Inrikes flyttnetto,-24
Halmstad,2017,historisk,Inrikes inflyttade,4192
Halmstad,2017,historisk,Inrikes utflyttade,4216
Halmstad,2018,historisk,Inrikes flyttnetto,353
Halmstad,2018,historisk,Inrikes inflyttade,4335
Halmstad,2018,historisk,Inrikes utflyttade,3982
Halmstad,2019,historisk,Inrikes flyttnetto,379
Halmstad,2019,historisk,Inrikes inflyttade,4400
Halmstad,2019,historisk,Inrikes utflyttade,4021
Halmstad,2020,historisk,Inrikes flyttnetto,332
Halmstad,2020,historisk,Inrikes inflyttade,4692
Halmstad,2020,historisk,Inrikes utflyttade,4360
Halmstad,2021,historisk,Inrikes flyttnetto,-15
Halmstad,2021,historisk,Inrikes inflyttade,4552
Halmstad,2021,historisk,Inrikes utflyttade,4567
Halmstad,2022,historisk,Inrikes flyttnetto,-74
Halmstad,2022,historisk,Inrikes inflyttade,4668
Halmstad,2022,historisk,Inrikes utflyttade,4742
Halmstad,2023,historisk,Inrikes flyttnetto,257
Halmstad,2023,historisk,Inrikes inflyttade,4641
Halmstad,2023,historisk,Inrikes utflyttade,4384
Halmstad,2024,historisk,Inrikes flyttnetto,71
Halmstad,2024,historisk,Inrikes inflyttade,4389
Halmstad,2024,historisk,Inrikes utflyttade,4318
Halmstad,2025,historisk,Inrikes flyttnetto,50
Halmstad,2025,historisk,Inrikes inflyttade,4391
Halmstad,2025,historisk,Inrikes utflyttade,4341
Halmstad,2026,prognos,Inrikes flyttnetto,130.49076893894926
Halmstad,2026,prognos,Inrikes inflyttade,4510.882028339553
