Region,År,datakalla,Variabel,Värde
Halmstad,2040,prognos,Födda,1087.1407234613241
Halmstad,2040,prognos,Döda,1139.6801588362437
Halmstad,2040,prognos,Födelsenetto,-52.53943537491955
Hylte,2000,historisk,Födda,93
Hylte,2000,historisk,Döda,115
Hylte,2000,historisk,Födelsenetto,-22
Hylte,2001,historisk,Födda,108
Hylte,2001,historisk,Döda,133
Hylte,2001,historisk,Födelsenetto,-25
Hylte,2002,historisk,Födda,110
Hylte,2002,historisk,Döda,156
Hylte,2002,historisk,Födelsenetto,-46
Hylte,2003,historisk,Födda,96
Hylte,2003,historisk,Döda,126
Hylte,2003,historisk,Födelsenetto,-30
Hylte,2004,historisk,Födda,105
Hylte,2004,historisk,Döda,113
Hylte,2004,historisk,Födelsenetto,-8
Hylte,2005,historisk,Födda,109
Hylte,2005,historisk,Döda,117
Hylte,2005,historisk,Födelsenetto,-8
Hylte,2006,historisk,Födda,132
Hylte,2006,historisk,Döda,137
Hylte,2006,historisk,Födelsenetto,-5
Hylte,2007,historisk,Födda,132
Hylte,2007,historisk,Döda,114
Hylte,2007,historisk,Födelsenetto,18
Hylte,2008,historisk,Födda,94
Hylte,2008,historisk,Döda,110
Hylte,2008,historisk,Födelsenetto,-16
Hylte,2009,historisk,Födda,114
Hylte,2009,historisk,Döda,128
Hylte,2009,historisk,Födelsenetto,-14
Hylte,2010,historisk,Födda,110
Hylte,2010,historisk,Döda,116
Hylte,2010,historisk,Födelsenetto,-6
Hylte,2011,historisk,Födda,103
Hylte,2011,historisk,Döda,122
Hylte,2011,historisk,Födelsenetto,-19
Hylte,2012,historisk,Födda,125
Hylte,2012,historisk,Döda,141
Hylte,2012,historisk,Födelsenetto,-16
Hylte,2013,historisk,Födda,98
Hylte,2013,historisk,Döda,117
Hylte,2013,historisk,Födelsenetto,-19
Hylte,2014,historisk,Födda,126
Hylte,2014,historisk,Döda,103
Hylte,2014,historisk,Födelsenetto,23
Hylte,2015,historisk,Födda,127
Hylte,2015,historisk,Döda,110
Hylte,2015,historisk,Födelsenetto,17
Hylte,2016,historisk,Födda,137
Hylte,2016,historisk,Döda,107
Hylte,2016,historisk,Födelsenetto,30
Hylte,2017,historisk,Födda,132
Hylte,2017,historisk,Döda,97
Hylte,2017,historisk,Födelsenetto,35
Hylte,2018,historisk,Födda,137
Hylte,2018,historisk,Döda,115
Hylte,2018,historisk,Födelsenetto,22
Hylte,2019,historisk,Födda,129
Hylte,2019,historisk,Döda,121
Hylte,2019,historisk,Födelsenetto,8
Hylte,2020,historisk,Födda,126
Hylte,2020,historisk,Döda,114
Hylte,2020,historisk,Födelsenetto,12
Hylte,2021,historisk,Födda,107
Hylte,2021,historisk,Döda,112
Hylte,2021,historisk,Födelsenetto,-5
Hylte,2022,historisk,Födda,93
Hylte,2022,historisk,Döda,124
Hylte,2022,historisk,Födelsenetto,-31
Hylte,2023,historisk,Födda,81
Hylte,2023,historisk,Döda,130
Hylte,2023,historisk,Födelsenetto,-49
Hylte,2024,historisk,Födda,96
Hylte,2024,historisk,Döda,111
Hylte,2024,historisk,Födelsenetto,-15
Hylte,2025,historisk,Födda,86
Hylte,2025,historisk,Döda,131
Hylte,2025,historisk,Födelsenetto,-45
Hylte,2026,prognos,Födda,84.53895493169502
Hylte,2026,prognos,Döda,117.42753441636587
Hylte,2026,prognos,Födelsenetto,-32.888579484670856
Hylte,2027,prognos,Födda,82.90136023217804
Hylte,2027,prognos,Döda,112.81783283467927
Hylte,2027,prognos,Födelsenetto,-29.91647260250123
Hylte,2028,prognos,Födda,81.20859133408271
Hylte,2028,prognos,Döda,111.6580838874236
Hylte,2028,prognos,Födelsenetto,-30.44949255334089
Hylte,2029,prognos,Födda,80.77956980273245
Hylte,2029,prognos,Döda,111.32405272760514
Hylte,2029,prognos,Födelsenetto,-30.544482924872682
Hylte,2030,prognos,Födda,80.69747259970097
Hylte,2030,prognos,Döda,110.73008924478481
Hylte,2030,prognos,Födelsenetto,-30.032616645083834
Hylte,2031,prognos,Födda,81.32132741116665
Hylte,2031,prognos,Döda,110.94754945378885
Hylte,2031,prognos,Födelsenetto,-29.626222042622203
Hylte,2032,prognos,Födda,82.30393521087639
Hylte,2032,prognos,Döda,110.88541997477357
Hylte,2032,prognos,Födelsenetto,-28.58148476389718
Hylte,2033,prognos,Födda,82.87050125335308
Hylte,2033,prognos,Döda,111.03262831803899
Hylte,2033,prognos,Födelsenetto,-28.162127064685905
Hylte,2034,prognos,Födda,82.65276595335808
Hylte,2034,prognos,Döda,111.17005311260107
Hylte,2034,prognos,Födelsenetto,-28.517287159242983
Hylte,2035,prognos,Födda,82.50535407896929
Hylte,2035,prognos,Döda,111.36851018861967
Hylte,2035,prognos,Födelsenetto,-28.863156109650376
Hylte,2036,prognos,Födda,82.38588222444574
Hylte,2036,prognos,Döda,111.34291443962114
Hylte,2036,prognos,Födelsenetto,-28.957032215175403
Hylte,2037,prognos,Födda,82.29821148835197
Hylte,2037,prognos,Döda,111.37825761505454
Hylte,2037,prognos,Födelsenetto,-29.08004612670257
Hylte,2038,prognos,Födda,82.18488762350783
Hylte,2038,prognos,Döda,111.41010028951806
Hylte,2038,prognos,Födelsenetto,-29.225212666010222
Hylte,2039,prognos,Födda,82.25327236458047
Hylte,2039,prognos,Döda,111.33756287078086
Hylte,2039,prognos,Födelsenetto,-29.08429050620039
Hylte,2040,prognos,Födda,82.26026691927554
Hylte,2040,prognos,Döda,110.99830666121619
Hylte,2040,prognos,Födelsenetto,-28.738039741940653
Kungsbacka,2000,historisk,Födda,752
Kungsbacka,2000,historisk,Döda,437
Kungsbacka,2000,historisk,Födelsenetto,315
Kungsbacka,2001,historisk,Födda,791
Kungsbacka,2001,historisk,Döda,432
Kungsbacka,2001,historisk,Födelsenetto,359
Kungsbacka,2002,historisk,Födda,831
Kungsbacka,2002,historisk,Döda,461
Kungsbacka,2002,historisk,Födelsenetto,370
Kungsbacka,2003,historisk,Födda,819
Kungsbacka,2003,historisk,Döda,477
Kungsbacka,2003,historisk,Födelsenetto,342
Kungsbacka,2004,historisk,Födda,814
Kungsbacka,2004,historisk,Döda,480
Kungsbacka,2004,historisk,Födelsenetto,334
Kungsbacka,2005,historisk,Födda,858
Kungsbacka,2005,historisk,Döda,522
Kungsbacka,2005,historisk,Födelsenetto,336
Kungsbacka,2006,historisk,Födda,851
Kungsbacka,2006,historisk,Döda,484
Kungsbacka,2006,historisk,Födelsenetto,367
Kungsbacka,2007,historisk,Födda,822
Kungsbacka,2007,historisk,Döda,538
Kungsbacka,2007,historisk,Födelsenetto,284
Kungsbacka,2008,historisk,Födda,795
Kungsbacka,2008,historisk,Döda,530
Kungsbacka,2008,historisk,Födelsenetto,265
Kungsbacka,2009,historisk,Födda,871
Kungsbacka,2009,historisk,Döda,568
Kungsbacka,2009,historisk,Födelsenetto,303
Kungsbacka,2010,historisk,Födda,869
Kungsbacka,2010,historisk,Döda,534
Kungsbacka,2010,historisk,Födelsenetto,335
Kungsbacka,2011,historisk,Födda,769
Kungsbacka,2011,historisk,Döda,560
Kungsbacka,2011,historisk,Födelsenetto,209
Kungsbacka,2012,historisk,Födda,799
Kungsbacka,2012,historisk,Döda,582
Kungsbacka,2012,historisk,Födelsenetto,217
Kungsbacka,2013,historisk,Födda,760
Kungsbacka,2013,historisk,Döda,617
Kungsbacka,2013,historisk,Födelsenetto,143
Kungsbacka,2014,historisk,Födda,795
Kungsbacka,2014,historisk,Döda,610
Kungsbacka,2014,historisk,Födelsenetto,185
Kungsbacka,2015,historisk,Födda,751
Kungsbacka,2015,historisk,Döda,586
Kungsbacka,2015,historisk,Födelsenetto,165
Kungsbacka,2016,historisk,Födda,779
Kungsbacka,2016,historisk,Döda,607
Kungsbacka,2016,historisk,Födelsenetto,172
Kungsbacka,2017,historisk,Födda,731
Kungsbacka,2017,historisk,Döda,624
Kungsbacka,2017,historisk,Födelsenetto,107
Kungsbacka,2018,historisk,Födda,822
Kungsbacka,2018,historisk,Döda,615
